Company,Emp_2018,Emp_2019,Emp_2020,Emp_2021,Emp_2022,Emp_2023,Emp_2024,Emp_2025
Apar Industries,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Apollo Hospitals,39000.0,40000.0,42000.0,45000.0,46000.0,47000.0,48000.0,49000.0
Apollo Tyres,16000.0,16500.0,17000.0,18000.0,18500.0,19000.0,19500.0,20000.0
Aptech,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Archies,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Arise India,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Armoured Vehicles Nigam,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Artemis Hospital,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Arvind,39000.0,40000.0,42000.0,43000.0,44000.0,45000.0,46000.0,47000.0
Ashok Leyland,11852.0,12250.0,12530.0,12810.0,13000.0,13200.0,13400.0,13600.0
Asia MotorWorks,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Asian Paints,5700.0,5800.0,5900.0,6100.0,6300.0,6500.0,6700.0,6900.0
Atul,3500.0,3600.0,3700.0,3750.0,3800.0,3900.0,4000.0,4100.0
Atul Auto,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Avantha Group,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Axis Bank,55000.0,58000.0,60000.0,62000.0,64000.0,66000.0,68000.0,70000.0
Bajaj Auto,10000.0,10200.0,10400.0,10600.0,10800.0,11000.0,11200.0,11400.0
Bajaj Group,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Balaji Telefilms,1200.0,1250.0,1300.0,1350.0,1400.0,1450.0,1500.0,1550.0
Balaji Wafers,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Ballarpur Industries,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Bank of Baroda,85000.0,86000.0,87000.0,88000.0,89000.0,90000.0,91000.0,92000.0
Bank of India,50000.0,51000.0,52000.0,53000.0,54000.0,55000.0,56000.0,57000.0
Bellatrix Aerospace,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
BEML,11000.0,11200.0,11400.0,11600.0,11800.0,12000.0,12200.0,12400.0
Bharat Aluminium Company,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Bharat Biotech,2500.0,2600.0,2700.0,2800.0,2900.0,3000.0,3100.0,3200.0
Bharat Dynamics Limited,3100.0,3200.0,3300.0,3400.0,3500.0,3600.0,3700.0,3800.0
Bharat Electronics,10500.0,10800.0,11000.0,11200.0,11400.0,11600.0,11800.0,12000.0
Bharat Forge,10000.0,10200.0,10400.0,10600.0,10800.0,11000.0,11200.0,11400.0
Bharat Heavy Electricals Limited,39500.0,40000.0,40500.0,41000.0,41500.0,42000.0,42500.0,43000.0
Bharat Petroleum,12500.0,12700.0,12900.0,13100.0,13300.0,13500.0,13700.0,13900.0
Bharat Sanchar Nigam Limited,65000.0,66000.0,67000.0,68000.0,69000.0,70000.0,71000.0,72000.0
BHAVINI,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Bharti Airtel,15000.0,15200.0,15400.0,15600.0,15800.0,16000.0,16200.0,16400.0
Biocon,11000.0,11200.0,11400.0,11600.0,11800.0,12000.0,12200.0,12400.0
Blue Star,5000.0,5100.0,5200.0,5300.0,5400.0,5500.0,5600.0,5700.0
BluSmart,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Bombay Dyeing,7000.0,7100.0,7200.0,7300.0,7400.0,7500.0,7600.0,7700.0
Bonn Group of Industries,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Borosil,1200.0,1250.0,1300.0,1350.0,1400.0,1450.0,1500.0,1550.0
BPL Group,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
BrahMos Aerospace,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Brigade Group,2000.0,2100.0,2200.0,2300.0,2400.0,2500.0,2600.0,2700.0
Britannia Industries,7000.0,7200.0,7400.0,7600.0,7800.0,8000.0,8200.0,8400.0
Café Coffee Day,28000.0,28500.0,29000.0,29500.0,30000.0,30500.0,31000.0,31500.0
BrahMos Aerospace,1500.0,1550.0,1600.0,1650.0,1700.0,1750.0,1800.0,1850.0
Brigade Group,1000.0,1050.0,1100.0,1150.0,1200.0,1250.0,1300.0,1350.0
Britannia Industries,4500.0,4600.0,4700.0,4800.0,4900.0,5000.0,5100.0,5200.0
Café Coffee Day,3000.0,3100.0,3200.0,3300.0,3400.0,3500.0,3600.0,3700.0
Canara Bank,60000.0,61000.0,62000.0,63000.0,64000.0,65000.0,66000.0,67000.0
CaratLane,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
CEAT,6000.0,6200.0,6400.0,6600.0,6800.0,7000.0,7200.0,7400.0
Celkon,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Central Bank of India,55000.0,56000.0,57000.0,58000.0,59000.0,60000.0,61000.0,62000.0
Centum Electronics,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Century Plyboards,1200.0,1250.0,1300.0,1350.0,1400.0,1450.0,1500.0,1550.0
CESC Limited,8000.0,8200.0,8400.0,8600.0,8800.0,9000.0,9200.0,9400.0
CG Power and Industrial Solutions,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Chennai Petroleum Corporation,1800.0,1850.0,1900.0,1950.0,2000.0,2050.0,2100.0,2150.0
Cipla,21000.0,21500.0,22000.0,22500.0,23000.0,23500.0,24000.0,24500.0
City Union Bank,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
CMC,4000.0,4100.0,4200.0,4300.0,4400.0,4500.0,4600.0,4700.0
Coal India,270000.0,272000.0,275000.0,277000.0,280000.0,282000.0,285000.0,287000.0
Cochin Minerals and Rutile Limited,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Cochin Shipyard,1800.0,1850.0,1900.0,1950.0,2000.0,2050.0,2100.0,2150.0
Computer Age Management Services,7000.0,7200.0,7400.0,7600.0,7800.0,8000.0,8200.0,8400.0
Container Corporation of India,1600.0,1650.0,1700.0,1750.0,1800.0,1850.0,1900.0,1950.0
Coromandel International,5000.0,5100.0,5200.0,5300.0,5400.0,5500.0,5600.0,5700.0
Cosmic Circuits,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Crossword Bookstores,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
CSB Bank,3200.0,3300.0,3400.0,3500.0,3600.0,3700.0,3800.0,3900.0
Cyient,14000.0,14200.0,14400.0,14600.0,14800.0,15000.0,15200.0,15400.0
Dabur,6700.0,6800.0,6900.0,7000.0,7100.0,7200.0,7300.0,7400.0
Damodar Valley Corporation,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Deccan Charters,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Dedicated Freight Corridor Corporation of India,8000.0,8200.0,8400.0,8600.0,8800.0,9000.0,9200.0,9400.0
Dempo,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Dena Bank,13000.0,13500.0,14000.0,14500.0,15000.0,15500.0,16000.0,16500.0
Dish TV,3500.0,3600.0,3700.0,3800.0,3900.0,4000.0,4100.0,4200.0
Dixon Technologies,10000.0,10200.0,10400.0,10600.0,10800.0,11000.0,11200.0,11400.0
DLF,1500.0,1600.0,1700.0,1800.0,1900.0,2000.0,2100.0,2200.0
DMart,60000.0,62000.0,64000.0,66000.0,68000.0,70000.0,72000.0,74000.0
Dr. Reddy's Laboratories,22000.0,22500.0,23000.0,23500.0,24000.0,24500.0,25000.0,25500.0
Dynamatic Technologies,4000.0,4100.0,4200.0,4300.0,4400.0,4500.0,4600.0,4700.0
EaseMyTrip,900.0,950.0,1000.0,1050.0,1100.0,1150.0,1200.0,1250.0
Edelweiss Group,11000.0,11200.0,11400.0,11600.0,11800.0,12000.0,12200.0,12400.0
Eicher Motors,12000.0,12200.0,12400.0,12600.0,12800.0,13000.0,13200.0,13400.0
EID Parry,7000.0,7100.0,7200.0,7300.0,7400.0,7500.0,7600.0,7700.0
Electronics Corporation of India Limited,2700.0,2800.0,2900.0,3000.0,3100.0,3200.0,3300.0,3400.0
eLitmus,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Emami,3200.0,3300.0,3400.0,3500.0,3600.0,3700.0,3800.0,3900.0
Emcure Pharmaceuticals,5000.0,5100.0,5200.0,5300.0,5400.0,5500.0,5600.0,5700.0
Engineers India,6500.0,6600.0,6700.0,6800.0,6900.0,7000.0,7100.0,7200.0
English Indian Clays,1800.0,1850.0,1900.0,1950.0,2000.0,2050.0,2100.0,2150.0
Escorts Kubota Limited,9000.0,9100.0,9200.0,9300.0,9400.0,9500.0,9600.0,9700.0
Essar Group,65000.0,66000.0,67000.0,68000.0,69000.0,70000.0,71000.0,72000.0
Essel Group,4000.0,4100.0,4200.0,4300.0,4400.0,4500.0,4600.0,4700.0
Eureka Forbes,12000.0,12300.0,12500.0,12700.0,12900.0,13100.0,13300.0,13500.0
Eveready Industries India,3000.0,3100.0,3200.0,3300.0,3400.0,3500.0,3600.0,3700.0
Exide Industries,10000.0,10200.0,10400.0,10600.0,10800.0,11000.0,11200.0,11400.0
Exide Life Insurance,1500.0,1550.0,1600.0,1650.0,1700.0,1750.0,1800.0,1850.0
Federal Bank,12000.0,12200.0,12400.0,12600.0,12800.0,13000.0,13200.0,13400.0
Firstsource,20000.0,20500.0,21000.0,21500.0,22000.0,22500.0,23000.0,23500.0
Flipkart,30000.0,31000.0,32000.0,33000.0,34000.0,35000.0,36000.0,37000.0
Forbes & Company Limited,1000.0,1050.0,1100.0,1150.0,1200.0,1250.0,1300.0,1350.0
Force Motors,2000.0,2100.0,2200.0,2300.0,2400.0,2500.0,2600.0,2700.0
Fortis Healthcare,23000.0,23500.0,24000.0,24500.0,25000.0,25500.0,26000.0,26500.0
Future Group,50000.0,51000.0,52000.0,53000.0,54000.0,55000.0,56000.0,57000.0
GAIL,4500.0,4600.0,4700.0,4800.0,4900.0,5000.0,5100.0,5200.0
Galaxy Surfactants,1500.0,1550.0,1600.0,1650.0,1700.0,1750.0,1800.0,1850.0
Garden Reach Shipbuilders & Engineers,1800.0,1850.0,1900.0,1950.0,2000.0,2050.0,2100.0,2150.0
Geojit Financial Services,1100.0,1150.0,1200.0,1250.0,1300.0,1350.0,1400.0,1450.0
Gini & Jony,800.0,820.0,840.0,860.0,880.0,900.0,920.0,940.0
Glenmark Pharmaceuticals,9000.0,9100.0,9200.0,9300.0,9400.0,9500.0,9600.0,9700.0
Gliders India,300.0,320.0,340.0,360.0,380.0,400.0,420.0,440.0
GMR Group,4500.0,4600.0,4700.0,4800.0,4900.0,5000.0,5100.0,5200.0
Go First,2000.0,2100.0,2200.0,2300.0,2400.0,2500.0,2600.0,2700.0
Goa Shipyard,1500.0,1550.0,1600.0,1650.0,1700.0,1750.0,1800.0,1850.0
Godrej Group,12000.0,12200.0,12400.0,12600.0,12800.0,13000.0,13200.0,13400.0
Great Eastern Shipping,3000.0,3100.0,3200.0,3300.0,3400.0,3500.0,3600.0,3700.0
Greaves Cotton,3500.0,3600.0,3700.0,3800.0,3900.0,4000.0,4100.0,4200.0
Greenply,4000.0,4100.0,4200.0,4300.0,4400.0,4500.0,4600.0,4700.0
Gujarat Alkalies and Chemicals Limited,1800.0,1850.0,1900.0,1950.0,2000.0,2050.0,2100.0,2150.0
Gujarat Mineral Development Corporation,2200.0,2250.0,2300.0,2350.0,2400.0,2450.0,2500.0,2550.0
Gujarat State Fertilizers and Chemicals,2500.0,2550.0,2600.0,2650.0,2700.0,2750.0,2800.0,2850.0
Gujarat State Petroleum Corporation,2600.0,2650.0,2700.0,2750.0,2800.0,2850.0,2900.0,2950.0
GVK Industries,3000.0,3100.0,3200.0,3300.0,3400.0,3500.0,3600.0,3700.0
Haldiram's,10000.0,10200.0,10400.0,10600.0,10800.0,11000.0,11200.0,11400.0
Haptik,600.0,650.0,700.0,750.0,800.0,850.0,900.0,950.0
Hatsun Agro Product,8000.0,8200.0,8400.0,8600.0,8800.0,9000.0,9200.0,9400.0
Havells,8500.0,8700.0,8900.0,9100.0,9300.0,9500.0,9700.0,9900.0
Hawkins Cookers,900.0,950.0,1000.0,1050.0,1100.0,1150.0,1200.0,1250.0
HCLTech,117000.0,118500.0,120000.0,121500.0,123000.0,124500.0,126000.0,127500.0
HDFC Bank,98000.0,100000.0,102000.0,104000.0,106000.0,108000.0,110000.0,112000.0
Hero Cycles,8000.0,8200.0,8400.0,8600.0,8800.0,9000.0,9200.0,9400.0
Hero FinCorp,7000.0,7200.0,7400.0,7600.0,7800.0,8000.0,8200.0,8400.0
Hero MotoCorp,9000.0,9200.0,9400.0,9600.0,9800.0,10000.0,10200.0,10400.0
HFCL,3500.0,3600.0,3700.0,3800.0,3900.0,4000.0,4100.0,4200.0
Himalaya Wellness Company,6000.0,6100.0,6200.0,6300.0,6400.0,6500.0,6600.0,6700.0
Hindalco Industries,36000.0,36500.0,37000.0,37500.0,38000.0,38500.0,39000.0,39500.0
Hinduja Group,75000.0,76000.0,77000.0,78000.0,79000.0,80000.0,81000.0,82000.0
Hinduja Healthcare,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Hindustan Aeronautics Limited,28000.0,28500.0,29000.0,29500.0,30000.0,30500.0,31000.0,31500.0
Hindustan Construction Company,12000.0,12500.0,13000.0,13500.0,14000.0,14500.0,15000.0,15500.0
Hindustan Copper,1400.0,1450.0,1500.0,1550.0,1600.0,1650.0,1700.0,1750.0
Hindustan Motors,2000.0,2100.0,2200.0,2300.0,2400.0,2500.0,2600.0,2700.0
Hindustan Petroleum,10500.0,10700.0,10900.0,11100.0,11300.0,11500.0,11700.0,11900.0
Hindustan Shipyard,1500.0,1550.0,1600.0,1650.0,1700.0,1750.0,1800.0,1850.0
Hindustan Times,3000.0,3100.0,3200.0,3300.0,3400.0,3500.0,3600.0,3700.0
Hindustan Zinc,21000.0,21500.0,22000.0,22500.0,23000.0,23500.0,24000.0,24500.0
HLL Lifecare,1600.0,1650.0,1700.0,1750.0,1800.0,1850.0,1900.0,1950.0
HMT Limited,2500.0,2550.0,2600.0,2650.0,2700.0,2750.0,2800.0,2850.0
Housing Development Finance Corporation,12000.0,12200.0,12400.0,12600.0,12800.0,13000.0,13200.0,13400.0
iball,800.0,850.0,900.0,950.0,1000.0,1050.0,1100.0,1150.0
ICICI Bank,85000.0,86000.0,87000.0,88000.0,89000.0,90000.0,91000.0,92000.0
IDFC First Bank,9712.0,10197.0,10683.0,11168.0,11654.0,12140.0,12625.0,13111.0
Indegene,15175.0,15933.0,16692.0,17451.0,18210.0,18968.0,19727.0,20486.0
India Cements,27586.0,28965.0,30344.0,31723.0,33103.0,34482.0,35861.0,37241.0
India Optel,25462.0,26735.0,28008.0,29281.0,30554.0,31827.0,33100.0,34373.0
Indiabulls,21966.0,23064.0,24162.0,25260.0,26359.0,27457.0,28555.0,29654.0
India Infoline,2970.0,3118.0,3267.0,3415.0,3564.0,3712.0,3861.0,4009.0
Indian Bank,6246.0,6558.0,6870.0,7182.0,7495.0,7807.0,8119.0,8432.0
Indian Hotels Company Limited,29373.0,30841.0,32310.0,33778.0,35247.0,36716.0,38184.0,39653.0
Indian Oil Corporation,19992.0,20991.0,21991.0,22990.0,23990.0,24990.0,25989.0,26989.0
Indian Overseas Bank,7889.0,8283.0,8677.0,9072.0,9466.0,9861.0,10255.0,10650.0
Indian Railway Finance Corporation,28417.0,29837.0,31258.0,32679.0,34100.0,35521.0,36942.0,38362.0
Indian Railways,19824.0,20815.0,21806.0,22797.0,23788.0,24780.0,25771.0,26762.0
Indian Railway Stations Development Corporation,23054.0,24206.0,25359.0,26512.0,27664.0,28817.0,29970.0,31122.0
Indian Telephone Industries Limited,4600.0,4830.0,5060.0,5290.0,5520.0,5750.0,5980.0,6210.0
IndiGo,21056.0,22108.0,23161.0,24214.0,25267.0,26320.0,27372.0,28425.0
IndusInd Bank,25428.0,26699.0,27970.0,29242.0,30513.0,31785.0,33056.0,34327.0
Infibeam,3381.0,3550.0,3719.0,3888.0,4057.0,4226.0,4395.0,4564.0
Infosys,24291.0,25505.0,26720.0,27934.0,29149.0,30363.0,31578.0,32792.0
Infrastructure Development Finance Company,15216.0,15976.0,16737.0,17498.0,18259.0,19020.0,19780.0,20541.0
Infrastructure Leasing & Financial Services,22839.0,23980.0,25122.0,26264.0,27406.0,28548.0,29690.0,30832.0
InMobi,20718.0,21753.0,22789.0,23825.0,24861.0,25897.0,26933.0,27969.0
Inox Air Products,22844.0,23986.0,25128.0,26270.0,27412.0,28555.0,29697.0,30839.0
Integral Coach Factory,23575.0,24753.0,25932.0,27111.0,28290.0,29468.0,30647.0,31826.0
Intelenet Global Services,5313.0,5578.0,5844.0,6109.0,6375.0,6641.0,6906.0,7172.0
Intex Technologies,15427.0,16198.0,16969.0,17741.0,18512.0,19283.0,20055.0,20826.0
Ircon International,22609.0,23739.0,24869.0,26000.0,27130.0,28261.0,29391.0,30522.0
ITC Limited,22413.0,23533.0,24654.0,25774.0,26895.0,28016.0,29136.0,30257.0
Ittiam Systems,3544.0,3721.0,3898.0,4075.0,4252.0,4430.0,4607.0,4784.0
Jabong.com,20873.0,21916.0,22960.0,24003.0,25047.0,26091.0,27134.0,28178.0
Jain Irrigation Systems,28041.0,29443.0,30845.0,32247.0,33649.0,35051.0,36453.0,37855.0
Jakson Group,13464.0,14137.0,14810.0,15483.0,16156.0,16830.0,17503.0,18176.0
Jawa Motorcycles,3175.0,3333.0,3492.0,3651.0,3810.0,3968.0,4127.0,4286.0
ISRO,12550.0,13177.0,13805.0,14432.0,15060.0,15687.0,16315.0,16942.0
Jaypee Group,16402.0,17222.0,18042.0,18862.0,19682.0,20502.0,21322.0,22142.0
Jet Airways,23289.0,24453.0,25617.0,26782.0,27946.0,29111.0,30275.0,31440.0
Jio-bp,11854.0,12446.0,13039.0,13632.0,14224.0,14817.0,15410.0,16002.0
Jio,28571.0,29999.0,31428.0,32856.0,34285.0,35713.0,37142.0,38570.0
Jio Platforms,21373.0,22441.0,23510.0,24578.0,25647.0,26716.0,27784.0,28853.0
Jindal Stainless,4643.0,4875.0,5107.0,5339.0,5571.0,5803.0,6035.0,6268.0
Jindal Steel and Power,21304.0,22369.0,23434.0,24499.0,25564.0,26630.0,27695.0,28760.0
Jupiter Wagons,25983.0,27282.0,28581.0,29880.0,31179.0,32478.0,33777.0,35077.0
JSW Energy,7067.0,7420.0,7773.0,8127.0,8480.0,8833.0,9187.0,9540.0
JSW Group,21871.0,22964.0,24058.0,25151.0,26245.0,27338.0,28432.0,29525.0
JSW MG Motor India,26793.0,28132.0,29472.0,30811.0,32151.0,33491.0,34830.0,36170.0
JSW Steel,3677.0,3860.0,4044.0,4228.0,4412.0,4596.0,4780.0,4963.0
Jubilant FoodWorks,9659.0,10141.0,10624.0,11107.0,11590.0,12073.0,12556.0,13039.0
K Raheja Corp,28103.0,29508.0,30913.0,32318.0,33723.0,35128.0,36533.0,37939.0
Kalyani Group,18734.0,19670.0,20607.0,21544.0,22480.0,23417.0,24354.0,25290.0
Karbonn Mobiles,5920.0,6216.0,6512.0,6807.0,7104.0,7400.0,7696.0,7992.0
Karnataka Bank,5011.0,5261.0,5512.0,5762.0,6013.0,6263.0,6514.0,6764.0
Karur Vysya Bank,19396.0,20365.0,21335.0,22305.0,23275.0,24245.0,25214.0,26184.0
Kerala Automobiles Limited,24717.0,25952.0,27188.0,28424.0,29660.0,30896.0,32132.0,33367.0
Kerala Electrical and Allied Engineering Company,7775.0,8163.0,8552.0,8941.0,9330.0,9718.0,10107.0,10496.0
Khadim's,12231.0,12842.0,13454.0,14065.0,14677.0,15288.0,15900.0,16511.0
Kingfisher,25177.0,26435.0,27694.0,28953.0,30212.0,31471.0,32730.0,33988.0
Kirloskar Group,26832.0,28173.0,29515.0,30856.0,32198.0,33540.0,34881.0,36223.0
Kokuyo Camlin,13557.0,14234.0,14912.0,15590.0,16268.0,16946.0,17624.0,18301.0
Konkan Railway Corporation,13861.0,14554.0,15247.0,15940.0,16633.0,17326.0,18019.0,18712.0
Kotak Mahindra Bank,19291.0,20255.0,21220.0,22184.0,23149.0,24113.0,25078.0,26042.0
KPIT Technologies,18525.0,19451.0,20377.0,21303.0,22230.0,23156.0,24082.0,25008.0
Kudremukh Iron Ore Company,13528.0,14204.0,14880.0,15557.0,16233.0,16910.0,17586.0,18262.0
Lakshmi Machine Works,8073.0,8476.0,8880.0,9283.0,9687.0,10091.0,10494.0,10898.0
Lakshmi Vilas Bank,27064.0,28417.0,29770.0,31123.0,32476.0,33830.0,35183.0,36536.0
Lanco Infratech,27214.0,28574.0,29935.0,31296.0,32656.0,34017.0,35378.0,36738.0
Larsen & Toubro,6480.0,6804.0,7128.0,7451.0,7776.0,8100.0,8424.0,8748.0
Lava International,10320.0,10836.0,11352.0,11867.0,12384.0,12900.0,13416.0,13932.0
Liberty Shoes,3918.0,4113.0,4309.0,4505.0,4701.0,4897.0,5093.0,5289.0
Life Insurance Corporation,12503.0,13128.0,13753.0,14378.0,15003.0,15628.0,16253.0,16879.0
Living Media,6919.0,7264.0,7610.0,7956.0,8302.0,8648.0,8994.0,9340.0
LYF,17567.0,18445.0,19323.0,20202.0,21080.0,21958.0,22837.0,23715.0
Mahanadi Coalfields,9610.0,10090.0,10571.0,11051.0,11532.0,12012.0,12493.0,12973.0
Mahindra Aerospace,11364.0,11932.0,12500.0,13068.0,13636.0,14205.0,14773.0,15341.0
Mahindra & Mahindra,5310.0,5575.0,5841.0,6106.0,6372.0,6637.0,6903.0,7168.0
Mahindra Group,15759.0,16546.0,17334.0,18122.0,18910.0,19698.0,20486.0,21274.0
MakeMyTrip,7876.0,8269.0,8663.0,9057.0,9451.0,9845.0,10238.0,10632.0
Mangalore Chemicals & Fertilizers,28781.0,30220.0,31659.0,33098.0,34537.0,35976.0,37415.0,38854.0
Marico,17715.0,18600.0,19486.0,20372.0,21258.0,22143.0,23029.0,23915.0
Maruti Suzuki,2293.0,2407.0,2522.0,2636.0,2751.0,2866.0,2980.0,3095.0
Max Group,29256.0,30718.0,32181.0,33644.0,35107.0,36570.0,38032.0,39495.0
Max Healthcare,26998.0,28347.0,29697.0,31047.0,32397.0,33747.0,35097.0,36447.0
Max Life Insurance,13464.0,14137.0,14810.0,15483.0,16156.0,16830.0,17503.0,18176.0
Max Ventures and Industries,28517.0,29942.0,31368.0,32794.0,34220.0,35646.0,37072.0,38497.0
Mazagon Dock Shipbuilders,23802.0,24992.0,26182.0,27372.0,28562.0,29752.0,30942.0,32132.0
MECON,17429.0,18300.0,19171.0,20043.0,20914.0,21786.0,22657.0,23529.0
Mercator,2727.0,2863.0,2999.0,3136.0,3272.0,3408.0,3545.0,3681.0
Metro Brands,12028.0,12629.0,13230.0,13832.0,14433.0,15035.0,15636.0,16237.0
Microland,24780.0,26019.0,27258.0,28496.0,29736.0,30975.0,32214.0,33453.0
Micromax Informatics,13359.0,14026.0,14694.0,15362.0,16030.0,16698.0,17366.0,18034.0
Milky Mist Dairy,4599.0,4828.0,5058.0,5288.0,5518.0,5748.0,5978.0,6208.0
Mindtree,5102.0,5357.0,5612.0,5867.0,6122.0,6377.0,6632.0,6887.0
Mishra Dhatu Nigam,27715.0,29100.0,30486.0,31872.0,33258.0,34643.0,36029.0,37415.0
Mistral Solutions,5793.0,6082.0,6372.0,6661.0,6951.0,7241.0,7530.0,7820.0
MKU,18369.0,19287.0,20205.0,21124.0,22042.0,22961.0,23879.0,24798.0
MMTC Ltd,25831.0,27122.0,28414.0,29705.0,30997.0,32288.0,33580.0,34871.0
"Modern Coach Factory, Raebareli",20118.0,21123.0,22129.0,23135.0,24141.0,25147.0,26153.0,27159.0
MOIL,23783.0,24972.0,26161.0,27350.0,28539.0,29728.0,30917.0,32107.0
Moser Baer,16437.0,17258.0,18080.0,18902.0,19724.0,20546.0,21368.0,22189.0
Mother Dairy,12547.0,13174.0,13801.0,14429.0,15056.0,15683.0,16311.0,16938.0
Mphasis,9199.0,9658.0,10118.0,10578.0,11038.0,11498.0,11958.0,12418.0
